,date,AirPressure(hPa),AirTemperature(C),AirTemperatureHygroClip(C),RelativeHumidity(%),SpecificHumidity(g/kg),WindSpeed(m/s),WindDirection(d),SensibleHeatFlux(W/m2),LatentHeatFlux(W/m2),ShortwaveRadiationDown(W/m2),ShortwaveRadiationDown_Cor(W/m2),ShortwaveRadiationUp(W/m2),ShortwaveRadiationUp_Cor(W/m2),Albedo_theta<70d,LongwaveRadiationDown(W/m2),LongwaveRadiationUp(W/m2),CloudCover,SurfaceTemperature(C),HeightSensorBoom(m),HeightStakes(m),DepthPressureTransducer_Cor(m),IceTemperature1(C),IceTemperature2(C),IceTemperature3(C),IceTemperature4(C),IceTemperature5(C),IceTemperature6(C),IceTemperature7(C),IceTemperature8(C),TimeGPS(hhmmssUTC),LatitudeGPS(degN),LongitudeGPS(degW),ElevationGPS(m),HorDilOfPrecGPS
99074,2022-08-01 00:00:00,964.0,8.44,-999.0,54.5,3.9,0.78,3.7,-999.0,-999.0,6.0,-999,2.6,-999,-999,269.4,331.9,0.05,0.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99075,2022-08-01 01:00:00,964.0,7.55,-999.0,55.8,3.76,0.67,326.9,-999.0,-999.0,-0.6,-999,1.6,-999,-999,267.0,325.0,0.08,0.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99076,2022-08-01 02:00:00,964.0,6.9,-999.0,60.4,3.89,0.73,330.9,-999.0,-999.0,-2.4,-999,0.9,-999,-999,264.8,321.2,0.09,0.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99077,2022-08-01 03:00:00,964.0,6.38,-999.0,62.3,3.87,0.68,328.7,-999.0,-999.0,-2.3,-999,1.2,-999,-999,263.4,319.8,0.11,0.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99078,2022-08-01 04:00:00,964.0,5.93,-999.0,68.4,4.12,0.54,341.9,-999.0,-999.0,-1.8,-999,1.2,-999,-999,261.8,317.7,0.12,0.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99079,2022-08-01 05:00:00,964.0,5.68,-999.0,66.9,3.96,0.68,338.3,0.0,0.0,0.5,-999,2.1,-999,-999,261.7,317.5,0.13,0.0,2.467,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99080,2022-08-01 06:00:00,965.0,5.3,-999.0,72.1,4.15,0.39,329.3,-999.0,-999.0,12.8,-999,4.2,-999,-999,260.4,317.3,0.14,0.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99081,2022-08-01 07:00:00,965.0,6.44,-999.0,65.7,4.09,0.36,354.1,-999.0,-999.0,72.0,-999,39.9,-999,-999,262.1,328.2,0.09,0.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99082,2022-08-01 08:00:00,965.0,7.57,-999.0,58.0,3.91,0.38,144.5,-999.0,-999.0,158.1,-999,36.2,-999,-999,264.5,346.9,0.05,0.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99083,2022-08-01 09:00:00,965.0,8.38,-999.0,52.2,3.71,0.96,87.2,-999.0,-999.0,266.9,-999,55.4,-999,-999,267.0,364.1,0.03,0.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99084,2022-08-01 10:00:00,965.0,9.0,-999.0,48.6,3.61,1.6,116.6,-999.0,-999.0,379.0,-999,72.9,-999,-999,270.0,379.1,0.02,0.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99085,2022-08-01 11:00:00,965.0,9.6,-999.0,48.9,3.78,1.45,95.8,3.7,-0.2,482.7,-999,85.3,-999,-999,272.6,394.9,0.01,0.0,2.401,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99086,2022-08-01 12:00:00,965.0,10.3,-999.0,45.9,3.72,1.9,95.2,-999.0,-999.0,574.3,-999,96.7,-999,-999,275.2,407.2,0.0,0.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99087,2022-08-01 13:00:00,965.0,10.28,-999.0,44.2,3.58,2.44,94.2,-999.0,-999.0,644.3,-999,105.7,-999,-999,276.4,413.9,0.01,0.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99088,2022-08-01 14:00:00,966.0,10.36,-999.0,45.5,3.7,1.94,89.2,-999.0,-999.0,684.6,-999,109.2,-999,-999,278.2,421.1,0.03,0.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
