,date(UTC-2),PCPT(mm),AirPressure(hPa),AirTemperature(C),RelativeHumidity(%),WindSpeed(m/s),WindDirection(d),SensibleHeatFlux(W/m2),LatentHeatFlux(W/m2),ShortwaveRadiationDown_Cor(W/m2),ShortwaveRadiationUp_Cor(W/m2),Albedo_theta<70d,LongwaveRadiationUp(W/m2),CloudCover,SurfaceTemperature(C),IceTemperature1(C),IceTemperature2(C),IceTemperature3(C),IceTemperature4(C),IceTemperature5(C),IceTemperature6(C),IceTemperature7(C),IceTemperature8(C)
121978,01/08/2022 00:00,0,932,4.44,71,4.03,101.2,-999,-999,0,0,-999,319,0.16,0,-999,-999,-999,-999,-999,-999,-999,-999
121979,01/08/2022 01:00,0,932,4.12,73.2,3.78,107.9,-999,-999,0,0,-999,318.5,0.16,0,-999,-999,-999,-999,-999,-999,-999,-999
121980,01/08/2022 02:00,0,932,4.02,73.2,4.02,102,-999,-999,0,0,-999,318.4,0.15,0,-999,-999,-999,-999,-999,-999,-999,-999
121981,01/08/2022 03:00,0,932,4.19,70.8,4.18,105.8,43.2,-5.1,4.3,2,-999,318.4,0.15,0,0.86,0.18,0.03,-0.23,-1.62,-3.09,-3.92,-4.63
121982,01/08/2022 04:00,0,932,4.24,69.8,4.05,105.8,-999,-999,23.2,10.1,-999,318.3,0.14,0,-999,-999,-999,-999,-999,-999,-999,-999
121983,01/08/2022 05:00,0.000468688,932,3.98,71.2,4.16,104.4,-999,-999,42,18.3,-999,318.1,0.16,0,-999,-999,-999,-999,-999,-999,-999,-999
121984,01/08/2022 06:00,0.001225737,932,3.89,70.4,3.97,112.6,-999,-999,128.5,54.6,-999,318.1,0.16,0,-999,-999,-999,-999,-999,-999,-999,-999
121985,01/08/2022 07:00,0,932,4.17,67.4,3.74,108.7,-999,-999,260.5,108.2,-999,319,0.16,0,-999,-999,-999,-999,-999,-999,-999,-999
121986,01/08/2022 08:00,0,932,4.29,65.9,4.08,105.2,-999,-999,409.4,166,0.405,319.8,0.17,0,-999,-999,-999,-999,-999,-999,-999,-999
121987,01/08/2022 09:00,0,933,4.45,65,3.9,107.8,40.6,-11,524.2,222,0.424,320.7,0.18,0,3.91,3.24,0.3,-0.06,-1.52,-3.05,-3.9,-4.6
121988,01/08/2022 10:00,0,933,4.94,61,3.7,106.2,-999,-999,621.4,271.6,0.437,321.9,0.18,0,-999,-999,-999,-999,-999,-999,-999,-999
121989,01/08/2022 11:00,0,933,4.85,62.5,4.44,102.9,-999,-999,697.8,314.2,0.45,322.2,0.19,0,-999,-999,-999,-999,-999,-999,-999,-999
121990,01/08/2022 12:00,0,933,4.86,63.8,4.81,99.3,-999,-999,744.8,342.3,0.46,322.3,0.21,0,-999,-999,-999,-999,-999,-999,-999,-999
121991,01/08/2022 13:00,0,933,5,63.8,4.4,101.9,-999,-999,755.9,356,0.471,322.8,0.21,0,-999,-999,-999,-999,-999,-999,-999,-999
121992,01/08/2022 14:00,0,934,5.15,64.8,3.99,99.6,-999,-999,725.7,348,0.479,323.1,0.21,0,-999,-999,-999,-999,-999,-999,-999,-999
121993,01/08/2022 15:00,0,934,4.72,69.3,3.35,82,32,-2.2,674.4,332.3,0.493,323,0.25,0,2.37,1.15,0.36,0.09,-1.43,-2.99,-3.86,-4.61
121994,01/08/2022 16:00,0,935,5.08,69.9,3.21,87.3,-999,-999,524.7,269.7,0.514,322.5,0.24,0,-999,-999,-999,-999,-999,-999,-999,-999
121995,01/08/2022 17:00,0,935,5.05,70.8,3.72,81.7,-999,-999,475.1,253.9,0.534,322.5,0.28,0,-999,-999,-999,-999,-999,-999,-999,-999
121996,01/08/2022 18:00,0,936,5.06,70.9,3.62,88.9,-999,-999,336,191,0.568,322,0.27,0,-999,-999,-999,-999,-999,-999,-999,-999
121997,01/08/2022 19:00,0.031723525,936,5.25,70.1,4.01,88.8,-999,-999,237.5,132.3,-999,321.6,0.3,0,-999,-999,-999,-999,-999,-999,-999,-999
121998,01/08/2022 20:00,0.042033613,937,5.07,72.1,4.05,103.8,-999,-999,88.4,48.3,-999,320.8,0.67,0,-999,-999,-999,-999,-999,-999,-999,-999
121999,01/08/2022 21:00,0.07058471,938,4.6,75.3,3.48,80.9,34.1,3.8,33.6,18,-999,320.4,0.77,0,0.61,0.39,0.24,-0.08,-1.5,-3.03,-3.88,-4.6
122000,01/08/2022 22:00,0.045205932,938,4.01,80.5,3.12,71.7,-999,-999,7.9,4.1,-999,319.9,0.92,0,-999,-999,-999,-999,-999,-999,-999,-999
122001,01/08/2022 23:00,0.033273593,938,3.55,84.7,2.44,81.6,-999,-999,0.2,0.1,-999,319.3,0.77,0,-999,-999,-999,-999,-999,-999,-999,-999
122002,02/08/2022 00:00,0.010418356,938,3.69,83.4,3.15,84.5,-999,-999,0,0,-999,318.9,0.5,0,-999,-999,-999,-999,-999,-999,-999,-999
